Essential oils,"IC                         50                        (%, v/v)"
Dendranthema indicum                        (L.) Des Moul,0.03324
Peucedanum japonicum                        Thunb,0.04192
Dendranthema zawadskii                        var.                         latilobum                        (Maxim.) Kitam,0.04472
Agastache rugosa                        (Fisch.&Mey.) Kuntze,0.1508
Vitex rotundifolia                        L.f,0.08438
Pinus rigida                        Mill,0.04544
Orixa japonica                        Thunb,0.02833
Pinus strobus                        L,0.03293
Chamaecyparis pisifera                        (Siebold et Zucc.) Endl. var.                         filifera                        Beissn. et Hochst,0.06272
Citrus sunki                        Hort. ex Tanaka,0.04242
